,gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
87851,43926,200011060ORL,NBA,0,2001,11/6/2000,5,0,ORL,Magic,110,1507.889,1514.9318,42.505210999999996,SEA,Thunder,99,1498.6267,1491.5839999999998,H,W,0.65225464,
87852,43927,200011060SAC,NBA,0,2001,11/6/2000,5,0,SAC,Kings,79,1545.7968,1551.5806,46.320023,POR,Trailblazers,75,1622.0881,1616.3043,H,W,0.53406656,
87853,43927,200011060SAC,NBA,1,2001,11/6/2000,4,0,POR,Trailblazers,75,1622.0881,1616.3043,52.796696,SAC,Kings,79,1545.7968,1551.5806,A,L,0.46593344,
87854,43928,200011060UTA,NBA,0,2001,11/6/2000,4,0,UTA,Jazz,98,1584.1554,1588.8022,50.100536,MIN,Timberwolves,92,1561.1567,1556.5099,H,W,0.66996729,
87855,43928,200011060UTA,NBA,1,2001,11/6/2000,4,0,MIN,Timberwolves,92,1561.1567,1556.5099,46.827521999999995,UTA,Jazz,98,1584.1554,1588.8022,A,L,0.33003271,
87856,43929,200011060VAN,NBA,1,2001,11/6/2000,4,0,ATL,Hawks,87,1344.0852,1338.3126,24.894098,VAN,Grizzlies,97,1383.7283,1389.5009,A,L,0.30920255,
87857,43929,200011060VAN,NBA,0,2001,11/6/2000,4,0,VAN,Grizzlies,97,1383.7283,1389.5009,29.652572999999997,ATL,Hawks,87,1344.0852,1338.3126,H,W,0.69079745,
87858,43930,200011070CHI,NBA,0,2001,11/7/2000,4,0,CHI,Bulls,83,1305.2275,1299.2781,21.572725,WAS,Wizards,88,1448.9034,1454.8529,H,L,0.43747434,
87859,43930,200011070CHI,NBA,1,2001,11/7/2000,5,0,WAS,Wizards,88,1448.9034,1454.8529,36.225643,CHI,Bulls,83,1305.2275,1299.2781,A,W,0.56252563,
87860,43931,200011070HOU,NBA,0,2001,11/7/2000,5,0,HOU,Rockets,84,1484.7896,1497.8231,40.711273,LAL,Lakers,74,1651.2969,1638.2633,H,W,0.40544045,
87861,43931,200011070HOU,NBA,1,2001,11/7/2000,5,0,LAL,Lakers,74,1651.2969,1638.2633,54.87365,HOU,Rockets,84,1484.7896,1497.8231,A,L,0.59455955,
87862,43932,200011070MIL,NBA,1,2001,11/7/2000,4,0,NYK,Knicks,103,1538.4146,1554.9158,46.663589,MIL,Bucks,89,1511.6727,1495.1715,A,W,0.39610809,
87863,43932,200011070MIL,NBA,0,2001,11/7/2000,4,0,MIL,Bucks,89,1511.6727,1495.1715,40.433163,NYK,Knicks,103,1538.4146,1554.9158,H,L,0.60389191,
87864,43933,200011070PHO,NBA,0,2001,11/7/2000,5,0,PHO,Suns,100,1608.2959,1619.1984,53.074539,SAS,Spurs,81,1616.0538,1605.1514,H,W,0.62971354,
87865,43933,200011070PHO,NBA,1,2001,11/7/2000,4,0,SAS,Spurs,81,1616.0538,1605.1514,51.715065,PHO,Suns,100,1608.2959,1619.1984,A,L,0.37028646,
87866,43934,200011070POR,NBA,0,2001,11/7/2000,5,0,POR,Trailblazers,97,1616.3043,1617.828,52.943127000000004,ATL,Hawks,88,1338.3126,1336.7889,H,W,0.8980639000000001,
87867,43934,200011070POR,NBA,1,2001,11/7/2000,5,0,ATL,Hawks,88,1338.3126,1336.7889,24.759142,POR,Trailblazers,97,1616.3043,1617.828,A,L,0.10193610000000002,
87868,43935,200011070TOR,NBA,0,2001,11/7/2000,5,0,TOR,Raptors,105,1474.6638,1491.4874,40.046856,BOS,Celtics,75,1508.0045,1491.1809,H,W,0.59477043,
87869,43935,200011070TOR,NBA,1,2001,11/7/2000,4,0,BOS,Celtics,75,1508.0045,1491.1809,40.014721,TOR,Raptors,105,1474.6638,1491.4874,A,L,0.40522957,
87870,43936,200011080DAL,NBA,0,2001,11/8/2000,5,0,DAL,Mavericks,74,1553.0457,1510.9371,42.086617,VAN,Grizzlies,101,1389.5009,1431.6094,H,L,0.82010895,
87871,43936,200011080DAL,NBA,1,2001,11/8/2000,5,0,VAN,Grizzlies,101,1389.5009,1431.6094,33.839893,DAL,Mavericks,74,1553.0457,1510.9371,A,W,0.17989105,
87872,43937,200011080DEN,NBA,0,2001,11/8/2000,5,0,DEN,Nuggets,109,1419.9487,1425.4479999999999,33.215076,MIN,Timberwolves,107,1556.5099,1551.0106,H,W,0.44757763,
87873,43937,200011080DEN,NBA,1,2001,11/8/2000,5,0,MIN,Timberwolves,107,1556.5099,1551.0106,46.261234,DEN,Nuggets,109,1419.9487,1425.4479999999999,A,L,0.5524224,
87874,43938,200011080IND,NBA,1,2001,11/8/2000,5,0,MIL,Bucks,97,1495.1715,1490.7489,39.969433,IND,Pacers,108,1601.245,1605.6676,A,L,0.23392951,
87875,43938,200011080IND,NBA,0,2001,11/8/2000,4,0,IND,Pacers,108,1601.245,1605.6676,51.765499,MIL,Bucks,97,1495.1715,1490.7489,H,W,0.76607049,
87876,43939,200011080LAC,NBA,0,2001,11/8/2000,5,0,LAC,Clippers,87,1273.8556,1270.8877,19.343954,UTA,Jazz,93,1588.8022,1591.7701,H,L,0.22490066,
87877,43939,200011080LAC,NBA,1,2001,11/8/2000,5,0,UTA,Jazz,93,1588.8022,1591.7701,50.396015000000006,LAC,Clippers,87,1273.8556,1270.8877,A,W,0.77509934,
87878,43940,200011080MIA,NBA,0,2001,11/8/2000,4,0,MIA,Heat,87,1573.6309,1577.1356,48.929646000000005,SEA,Thunder,81,1491.5839999999998,1488.0792,H,W,0.74038029,
87879,43940,200011080MIA,NBA,1,2001,11/8/2000,5,0,SEA,Thunder,81,1491.5839999999998,1488.0792,39.689625,MIA,Heat,87,1573.6309,1577.1356,A,L,0.25961971,
87880,43941,200011080NYK,NBA,0,2001,11/8/2000,5,0,NYK,Knicks,97,1554.9158,1546.1289,45.756813,CLE,Cavaliers,99,1452.6418,1461.4287,H,L,0.76212811,
87881,43941,200011080NYK,NBA,1,2001,11/8/2000,4,0,CLE,Cavaliers,99,1452.6418,1461.4287,36.907333,NYK,Knicks,97,1554.9158,1546.1289,A,W,0.23787189,
87882,43942,200011080ORL,NBA,0,2001,11/8/2000,6,0,ORL,Magic,90,1514.9318,1505.4772,41.514117999999996,CHH,Pelicans,96,1556.79,1566.2446,H,L,0.58290023,
87883,43942,200011080ORL,NBA,1,2001,11/8/2000,5,0,CHH,Pelicans,96,1556.79,1566.2446,47.824290999999995,ORL,Magic,90,1514.9318,1505.4772,A,W,0.41709977,
87884,43943,200011080PHI,NBA,0,2001,11/8/2000,5,0,PHI,Sixers,103,1610.1147,1613.9396,52.568787,DET,Pistons,94,1499.7502,1495.9254,H,W,0.77046794,
87885,43943,200011080PHI,NBA,1,2001,11/8/2000,5,0,DET,Pistons,94,1499.7502,1495.9254,40.512229999999995,PHI,Sixers,103,1610.1147,1613.9396,A,L,0.22953206,
87886,43944,200011080SAC,NBA,1,2001,11/8/2000,4,0,GSW,Warriors,84,1345.6931,1340.415,25.080996,SAC,Kings,115,1551.5806,1556.8586,A,L,0.14668643,
87887,43944,200011080SAC,NBA,0,2001,11/8/2000,6,0,SAC,Kings,115,1551.5806,1556.8586,46.863361,GSW,Warriors,84,1345.6931,1340.415,H,W,0.85331357,
87888,43945,200011080SAS,NBA,0,2001,11/8/2000,5,0,SAS,Spurs,91,1605.1514,1613.1284,52.490429000000006,LAL,Lakers,81,1638.2633,1630.2863,H,W,0.59508777,
