Kommun_code,Year,Kommun_name,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
1415,2010,Stenungsund,708,390,24292,2675,0.11011856,90.97926,72.951436,0,0
1419,2010,Tj�rn,90,76,14955,1642,0.10979605,59.34753,9.273488,0,0
1421,2010,Orust,259,115,15221,1427,0.09375205,112.86926,26.687037,0,0
1427,2010,Soten�s,182,100,9052,846,0.09346001,91.21057,18.753053,0,0
1430,2010,Munkedal,135,59,10181,636,0.06246931,114.67151,13.910231,0,0
1435,2010,Tanum,254,173,12370,1097,0.0886823,73.58027,26.171843,0,1
1438,2010,Dals-Ed,112,42,4692,301,0.06415175,133.64186,11.54034,0,1
1439,2010,F�rgelanda,30,41,6654,395,0.05936279,36.67002,3.091163,0,0
1440,2010,Ale,140,114,27442,2368,0.08629109,61.54559,14.425425,0,0
1441,2010,Lerum,328,239,38580,5239,0.13579575,68.77803,33.796711,0,0
1442,2010,V�rg�rda,125,58,10943,819,0.07484236,108.00797,12.879844,0,0
1443,2010,Bollebygd,68,46,8375,815,0.09731343,74.08407,7.006635,0,0
1444,2010,Gr�storp,67,37,5776,427,0.07392659,90.75004,6.903596,0,0
1445,2010,Essunga,59,29,5564,323,0.05805176,101.95952,6.079286,0,0
1446,2010,Karlsborg,30,16,6752,715,0.10589455,93.96693,3.091163,0,0
1447,2010,Gullsp�ng,39,22,5291,307,0.05802306,88.84146,4.018511,0,0
1452,2010,Tranemo,98,52,11587,746,0.0643825,94.44881,10.097798,0,0
1460,2010,Bengtsfors,121,52,9791,604,0.06168931,116.61537,12.467689,0,0
1461,2010,Mellerud,182,107,9179,585,0.06373243,85.24352,18.753053,0,0
1462,2010,Lilla Edet,55,39,12578,775,0.06161552,70.67598,5.667131,0,0
1463,2010,Mark,713,432,33845,2740,0.08095731,82.7141,73.46663,0,0
1465,2010,Svenljunga,108,82,10288,575,0.05589036,66.00604,11.128185,0,0
1466,2010,Herrljunga,74,46,9314,649,0.06968005,80.6209,7.624868,0,0
1470,2010,Vara,225,131,15762,962,0.06103286,86.07658,23.183719,0,0
1471,2010,G�tene,178,68,13223,1038,0.07849958,131.1852,18.340898,0,0
1472,2010,Tibro,187,89,10560,712,0.06742424,105.29927,19.268247,0,0
1473,2010,T�reboda,95,44,9113,588,0.06452321,108.20434,9.788681,0,0
1481,2010,M�lndal,3512,1487,60973,9962,0.16338379,118.36336,361.872096,0,0
1482,2010,Kung�lv,770,406,41241,4680,0.1134793,95.04701,79.339839,0,0
1484,2010,Lysekil,204,136,14521,1359,0.0935886,75.17354,21.019905,1,0
1485,2010,Uddevalla,2309,1010,51868,5727,0.1104149,114.57143,237.916478,0,0
1486,2010,Str�mstad,1281,667,11808,1071,0.09070122,96.24918,131.992641,0,1
1487,2010,V�nersborg,473,266,36857,3954,0.10727949,89.1155,48.73733,0,0
1488,2010,Trollh�ttan,2004,1038,55248,5812,0.10519838,96.75516,206.489659,0,0
1489,2010,Alings�s,1065,719,37796,4554,0.12048894,74.23257,109.736271,0,0
1490,2010,Bor�s,3365,1486,103294,10919,0.10570798,113.48541,346.7254,0,0
1491,2010,Ulricehamn,635,440,22838,1957,0.08569052,72.32606,65.429607,0,0
1492,2010,�m�l,277,134,12295,974,0.07921919,103.59737,28.541734,0,0
1493,2010,Mariestad,566,345,23741,2202,0.09275094,82.21879,58.319934,0,0
1494,2010,Lidk�ping,998,519,38048,4100,0.10775862,96.36891,102.832674,0,0
1495,2010,Skara,346,361,18314,1660,0.09064104,48.03333,35.651408,0,0
1496,2010,Sk�vde,2438,1027,51402,6315,0.12285514,118.96988,251.208477,0,0
1497,2010,Hjo,101,52,8841,865,0.09783961,97.3401,10.406914,0,0
1498,2010,Tidaholm,126,80,12572,807,0.06419026,78.93222,12.982883,0,0
1499,2010,Falk�ping,586,328,31513,2657,0.08431441,89.53597,60.380709,0,0
1715,2010,Kil,66,45,11706,1048,0.08952674,73.50302,6.800558,0,0
1730,2010,Eda,626,271,8524,426,0.04997654,115.76541,64.502259,0,1
1737,2010,Torsby,194,103,12414,866,0.06975995,94.39267,19.989518,0,1
1760,2010,Storfors,11,10,4273,250,0.0585069,55.12727,1.133426,0,0
1761,2010,Hammar�,40,62,14926,2179,0.14598687,32.33271,4.12155,0,0
1762,2010,Munkfors,15,18,3771,174,0.04614161,41.76308,1.545581,0,0
1763,2010,Forshaga,65,44,11266,913,0.0810403,74.03455,6.697519,0,0
1764,2010,Grums,28,37,9091,502,0.05521945,37.92539,2.885085,0,0
1765,2010,�rj�ng,439,239,9855,573,0.05814307,92.05352,45.234012,0,1
1766,2010,Sunne,216,131,13255,1052,0.07936628,82.63351,22.25637,0,0
1781,2010,Kristinehamn,370,173,23808,2184,0.09173387,107.18386,38.124338,0,0
1782,2010,Filipstad,71,48,10562,534,0.05055861,74.12947,7.315751,0,0
1783,2010,Hagfors,135,87,12480,770,0.06169872,77.76573,13.910231,0,0
1784,2010,Arvika,509,282,26034,2375,0.09122686,90.45705,52.446725,0,1
